Gene.symbol,adj.P.Val,P.Value,logFC
TSPYL1,0.69914973,2.10E-01,-3.01E-01
DGCR6L///DGCR6,0.69930827,2.10E-01,2.37E-01
GMDS,0.69945535,2.10E-01,-2.13E-01
TMEM70,0.69946584,2.10E-01,2.24E-01
TUSC1,0.69949206,2.10E-01,4.91E-01
C18orf25,0.69961981,2.10E-01,4.76E-02
SLC38A5,0.69990128,2.10E-01,5.73E-01
CPT2,0.70017345,2.10E-01,-2.37E-01
,0.70017345,2.10E-01,-2.37E-01
KIFC2,0.70018592,2.10E-01,-3.10E-01
PPM1F,0.70018592,2.11E-01,9.75E-02
CRABP2,0.70018592,2.11E-01,9.30E-01
PRSS12,0.70018592,2.11E-01,-4.57E-01
RELL2,0.70018592,2.11E-01,9.04E-02
NAPA,0.70019623,2.11E-01,-2.97E-01
WDR25,0.70046311,2.11E-01,1.52E-01
HERC1,0.7006265,2.11E-01,-2.26E-01
NRG1,0.70069175,2.11E-01,4.42E-01
XAGE1B///XAGE1E,0.7007349,2.11E-01,3.25E-01
GIGYF2,0.70085503,2.11E-01,-1.48E-01
PCDHB13,0.70085503,2.11E-01,1.27E-01
IL17RA,0.70087249,2.11E-01,-2.27E-01
METTL6,0.70092038,2.11E-01,5.13E-01
SDR42E1,0.70103536,2.11E-01,-3.88E-01
PALD1,0.70109182,2.11E-01,2.09E-01
STAT1,0.70122017,2.11E-01,7.78E-01
CEP128,0.70149615,2.11E-01,2.02E-01
VKORC1L1,0.70149615,2.11E-01,1.81E-01
BTN2A2,0.70156733,2.11E-01,4.02E-01
LTB4R,0.70156733,2.11E-01,2.30E-01
ZNF814,0.701659,2.11E-01,-2.61E-01
MINPP1,0.70175291,2.11E-01,4.48E-01
L2HGDH,0.70192568,2.11E-01,1.45E-01
MRPS2,0.70193317,2.11E-01,4.12E-01
TFRC,0.70195412,2.11E-01,5.91E-01
EDIL3,0.70196958,2.11E-01,5.83E-01
,0.70196958,2.11E-01,3.24E-01
,0.702011,2.11E-01,-4.10E-01
ITPR1,0.702011,2.11E-01,5.80E-01
NARF,0.702011,2.11E-01,-2.48E-01
LMAN1,0.702011,2.11E-01,1.79E-01
,0.702011,2.11E-01,2.51E-01
,0.702011,2.11E-01,3.23E-02
PLEKHB2,0.702011,2.11E-01,2.31E-01
WDFY2,0.70226426,2.12E-01,3.26E-01
VTA1,0.70226518,2.12E-01,2.01E-01
,0.70226518,2.12E-01,-7.74E-02
,0.70259111,2.12E-01,-9.58E-04
DUSP4,0.70259111,2.12E-01,-4.94E-01
SORD,0.70259111,2.12E-01,-4.85E-01
SUMF2,0.70259111,2.12E-01,2.83E-01
WNT7A,0.70259111,2.12E-01,2.68E-01
,0.70259111,2.12E-01,-7.53E-01
LOC101930075///PKD1,0.70262948,2.12E-01,-1.68E-02
POLR1D,0.70262948,2.12E-01,2.61E-01
SPATA1,0.70263009,2.12E-01,4.94E-02
SFI1,0.70264968,2.12E-01,-2.01E-01
SLC30A5,0.70264968,2.12E-01,3.89E-01
ELP2,0.70264968,2.12E-01,-2.41E-01
GDPD5,0.70268029,2.12E-01,2.45E-01
,0.70268029,2.12E-01,-4.85E-01
MIR424///MIR503HG,0.70268029,2.12E-01,1.79E-01
ZNF141,0.70272719,2.12E-01,-2.88E-01
BUD31,0.70272719,2.12E-01,1.98E-01
TICRR,0.70284428,2.12E-01,1.05E-01
CDADC1,0.70284428,2.12E-01,7.71E-02
LEPROT///LEPR,0.70287879,2.12E-01,2.11E-01
FZD3,0.70287879,2.12E-01,-4.82E-01
METTL8,0.70287879,2.12E-01,8.92E-02
EGFL8///PPT2,0.7028973,2.12E-01,2.56E-01
PPP6R2,0.7028973,2.12E-01,-1.80E-01
,0.70307213,2.12E-01,1.98E-02
EIF3J,0.7033055,2.12E-01,2.55E-01
IRS1,0.7033478,2.12E-01,-3.83E-01
C22orf15,0.70357021,2.12E-01,4.99E-02
LOC105372482,0.70357021,2.12E-01,4.73E-02
STC2,0.7035831,2.12E-01,2.55E-01
TFIP11,0.70363418,2.12E-01,1.62E-02
SLC25A4,0.70369766,2.12E-01,1.99E-01
ZNRF1,0.70375414,2.12E-01,-2.99E-01
SNORD96A///SNORD95///RACK1,0.70379469,2.12E-01,-1.75E-01
LRPPRC,0.70392413,2.13E-01,-6.28E-01
KLF7,0.70392413,2.13E-01,3.74E-01
EPHB3,0.70392413,2.13E-01,2.85E-01
LOC100996809///HLA-DRB4///HLA-DRB1,0.70392413,2.13E-01,7.54E-01
,0.70392413,2.13E-01,-4.12E-01
N4BP2,0.70392413,2.13E-01,4.66E-01
PEX1,0.70396276,2.13E-01,-3.92E-01
,0.70400176,2.13E-01,-3.10E-02
ARID4B///RBM34,0.70400176,2.13E-01,2.48E-01
,0.70400176,2.13E-01,-3.85E-01
RASAL2,0.70400176,2.13E-01,2.20E-02
LOC105373942,0.70400176,2.13E-01,-6.85E-02
CDK8,0.7040825,2.13E-01,2.74E-01
CACNA1G-AS1,0.7040825,2.13E-01,6.57E-02
NPHP1,0.7040825,2.13E-01,3.43E-01
RSRC2,0.7040825,2.13E-01,-1.64E-01
SMG7,0.70414182,2.13E-01,-3.38E-01
,0.70414182,2.13E-01,-2.47E-01
PTPRF,0.70415922,2.13E-01,-3.40E-01
HLX,0.70415922,2.13E-01,2.81E-01
,0.70415922,2.13E-01,-3.55E-01
ZWILCH,0.70415922,2.13E-01,4.05E-01
NIPBL,0.70415922,2.13E-01,2.13E-01
APBA1,0.70419998,2.13E-01,-3.49E-01
EEA1,0.70423481,2.13E-01,-4.23E-01
,0.70423481,2.13E-01,-1.49E-03
PKN2,0.70444895,2.13E-01,-2.18E-01
HOXA13,0.70451315,2.13E-01,-3.16E-01
,0.70457491,2.13E-01,2.87E-01
SCAND1,0.70465872,2.13E-01,-2.02E-01
LOC105378419,0.70468442,2.13E-01,-1.59E-02
CYTH1,0.70468442,2.13E-01,2.64E-01
LOC729970,0.70468442,2.13E-01,2.97E-01
GALNT18,0.7047807,2.13E-01,4.29E-01
,0.70481414,2.13E-01,3.69E-02
CTLA4,0.70481414,2.13E-01,5.70E-01
PCDH12,0.70481414,2.13E-01,1.27E-01
KIF13A,0.70501942,2.13E-01,2.27E-01
WLS,0.70501942,2.13E-01,5.74E-01
CRLS1,0.70503699,2.13E-01,-3.33E-01
NIN,0.70503699,2.13E-01,3.69E-01
,0.70503699,2.13E-01,-4.10E-01
CADM1,0.70503699,2.13E-01,-7.64E-02
ICE2,0.70503699,2.13E-01,1.64E-01
FAM13C,0.70503699,2.13E-01,-4.33E-01
USP34,0.70503699,2.13E-01,-2.55E-01
PTPMT1,0.70503699,2.13E-01,3.21E-01
DCLRE1B,0.70503699,2.13E-01,2.76E-01
APELA,0.70503699,2.13E-01,2.75E-01
PEAK1,0.70503699,2.13E-01,-2.26E-01
H1F0,0.70504393,2.14E-01,3.35E-01
PRPF6,0.70540209,2.14E-01,-7.20E-02
CD2BP2,0.70546593,2.14E-01,-1.87E-01
CDK6,0.70546593,2.14E-01,4.11E-02
,0.70546593,2.14E-01,-1.77E-01
RNF175,0.70546593,2.14E-01,2.84E-01
RPN2,0.70546593,2.14E-01,2.13E-01
MATN3,0.70546664,2.14E-01,6.62E-01
SYDE2,0.70546664,2.14E-01,-1.54E-01
COQ4,0.70574856,2.14E-01,4.40E-01
MALAT1,0.70606255,2.14E-01,-2.63E-01
MGAT5,0.70606306,2.14E-01,2.46E-01
UNC5B,0.70610479,2.14E-01,-2.68E-01
AMZ1,0.70610479,2.14E-01,3.50E-02
HIPK2,0.70614696,2.14E-01,3.40E-01
WNK2,0.70627639,2.14E-01,-9.54E-04
PNISR,0.70627639,2.14E-01,-3.48E-01
CALD1,0.70630706,2.14E-01,6.01E-01
KCNN3,0.70630706,2.14E-01,-1.14E-02
MECP2,0.70630706,2.14E-01,5.90E-02
CAMSAP3,0.70630706,2.14E-01,-2.85E-01
,0.7064813,2.14E-01,-5.21E-01
CST7,0.7064813,2.14E-01,5.62E-01
PSMC4,0.70648692,2.14E-01,1.94E-01
DHFR,0.706528,2.14E-01,-3.01E-01
MCAM,0.706528,2.14E-01,3.62E-01
GPRIN3,0.70656547,2.14E-01,2.85E-01
MC1R,0.70656547,2.14E-01,2.41E-01
,0.70656547,2.14E-01,4.95E-02
LRP3,0.70658487,2.14E-01,2.96E-01
PTK7,0.70658487,2.14E-01,3.79E-01
TNRC6C,0.70658487,2.14E-01,-8.69E-02
CCL13,0.70663072,2.14E-01,6.72E-01
TNXB///TNXA,0.70663072,2.14E-01,2.42E-01
FGFR2,0.70675715,2.14E-01,1.56E-01
EHMT1,0.7067977,2.14E-01,-2.77E-01
LOC101930591///FAM21A///FAM21C,0.70711579,2.15E-01,2.65E-01
TTC12,0.70711579,2.15E-01,-1.03E-01
MSRB3,0.7076941,2.15E-01,9.07E-02
CYLC1,0.70786441,2.15E-01,1.37E-02
TMEM33,0.70788391,2.15E-01,2.31E-01
4-Sep,0.70797876,2.15E-01,-3.67E-02
ZNF277,0.70797876,2.15E-01,-2.21E-01
PGP,0.70797876,2.15E-01,2.86E-01
FAM167A,0.70811938,2.15E-01,9.53E-02
PPIL2,0.70815771,2.15E-01,-2.36E-01
CD274,0.70823296,2.15E-01,3.58E-01
TTC26,0.70823302,2.15E-01,3.41E-01
RBBP4,0.70823302,2.15E-01,3.89E-01
CCDC13,0.70834515,2.15E-01,-1.61E-02
MYL6B,0.70834515,2.15E-01,4.36E-01
PLXND1,0.70843381,2.15E-01,3.83E-01
MCF2L,0.70843381,2.15E-01,-1.46E-01
GOLIM4,0.70845514,2.15E-01,4.91E-01
EXOG,0.70855494,2.15E-01,-3.65E-01
PTPN14,0.708632,2.15E-01,3.49E-01
PLCL2,0.708632,2.15E-01,5.54E-01
RASA4B///RASA4CP///RASA4,0.70863437,2.15E-01,2.54E-01
TMCO6,0.70869328,2.15E-01,-2.99E-01
,0.70869328,2.15E-01,4.02E-01
,0.70869328,2.15E-01,2.00E-01
QSOX1,0.70869328,2.15E-01,-3.65E-01
GADD45B,0.70869328,2.15E-01,3.96E-02
LINC00330,0.70869328,2.15E-01,-1.23E-02
CNBP,0.70869328,2.15E-01,1.77E-01
CEBPD,0.70870535,2.15E-01,3.92E-01
ZNF114,0.70870535,2.15E-01,3.86E-01
KRAS,0.70877173,2.16E-01,-1.92E-01
SBF1,0.70877173,2.16E-01,-1.37E-01
CAPN9,0.70878726,2.16E-01,-1.42E-01
GSTM5,0.70878726,2.16E-01,1.19E-01
,0.70878726,2.16E-01,-5.40E-01
CACFD1,0.70878726,2.16E-01,-1.86E-01
PSME4,0.70878726,2.16E-01,-4.12E-01
CENPU,0.70878726,2.16E-01,4.26E-01
C7orf55-LUC7L2///FMC1///LUC7L2,0.70878726,2.16E-01,-4.16E-01
CCL27,0.70881991,2.16E-01,2.77E-01
6-Mar,0.708913,2.16E-01,-2.59E-01
MEF2A,0.708913,2.16E-01,3.53E-02
,0.70898187,2.16E-01,5.27E-02
NUP214,0.70898187,2.16E-01,8.90E-02
DCLK1,0.70898187,2.16E-01,2.50E-01
C11orf58,0.70898187,2.16E-01,2.29E-01
GPN3,0.70898187,2.16E-01,3.81E-01
GEMIN4,0.70898187,2.16E-01,-2.71E-01
ARHGAP19,0.70906273,2.16E-01,2.83E-01
,0.70906273,2.16E-01,-2.23E-02
CHMP2A,0.70914666,2.16E-01,-2.53E-01
LOC780529,0.70914666,2.16E-01,2.78E-02
PICALM,0.70914666,2.16E-01,5.87E-01
MS4A1,0.70914666,2.16E-01,-2.73E-01
RBM15,0.70914666,2.16E-01,-6.66E-01
WAS,0.70914666,2.16E-01,2.41E-01
FAM129B,0.70914666,2.16E-01,-3.14E-01
IDNK,0.70914666,2.16E-01,-2.40E-01
,0.70914666,2.16E-01,-1.12E-03
TMEM127,0.70914666,2.16E-01,-2.56E-01
PIK3CA,0.70914666,2.16E-01,3.52E-01
RND2,0.70914666,2.16E-01,1.96E-01
EFHC2,0.70914666,2.16E-01,-3.65E-03
CDADC1,0.70914666,2.16E-01,3.16E-01
RBM39,0.70920655,2.16E-01,-2.84E-01
POU2F1,0.70943522,2.16E-01,-4.67E-01
AHDC1,0.70943522,2.16E-01,-2.85E-01
TMEM259,0.70951969,2.16E-01,4.21E-02
UBASH3B,0.70969135,2.16E-01,5.86E-01
ACTR3,0.7097033,2.16E-01,2.34E-01
EIF2AK1,0.7097033,2.16E-01,-1.76E-01
,0.7097033,2.16E-01,-3.41E-01
RNASE2,0.7097033,2.16E-01,2.16E-01
RBM22,0.7097033,2.16E-01,-2.55E-01
PDE3A,0.7097033,2.16E-01,2.62E-01
RABEP1,0.7097111,2.16E-01,2.57E-01
RIPK1,0.70997608,2.16E-01,-1.51E-01
LIN7B,0.71012591,2.17E-01,-1.64E-01
TMEM229B,0.71014853,2.17E-01,-8.15E-02
PLEKHG5,0.71025594,2.17E-01,-1.31E-01
GTF2H4,0.71030289,2.17E-01,3.23E-01
ASPH,0.71038413,2.17E-01,-5.14E-01
RNF103-CHMP3///CHMP3,0.71038413,2.17E-01,-2.15E-01
DDX52,0.71038413,2.17E-01,-3.08E-01
UHRF1BP1,0.71038413,2.17E-01,2.63E-01
GDPD5,0.71038502,2.17E-01,1.04E-01
RGS20,0.71055395,2.17E-01,8.73E-02
PTEN,0.71056031,2.17E-01,-2.38E-01
USP16,0.71056704,2.17E-01,-2.61E-01
NFE2L3,0.71056704,2.17E-01,-7.55E-01
NBPF26///NBPF10///NBPF9///NBPF14,0.71056704,2.17E-01,-2.81E-01
PRKCB,0.71062013,2.17E-01,5.53E-01
PSMD9,0.71062013,2.17E-01,2.46E-01
MIR6805///RPL28,0.71062013,2.17E-01,1.55E-01
CHML,0.71074179,2.17E-01,1.65E-01
SLITRK5,0.71076596,2.17E-01,3.89E-01
,0.71076596,2.17E-01,-2.59E-01
TPMT,0.71076596,2.17E-01,3.30E-01
MLX,0.71083187,2.17E-01,2.74E-01
FAM168B,0.71089167,2.17E-01,1.39E-01
LMNA,0.71089167,2.17E-01,-2.07E-01
TNFRSF10A,0.71106805,2.17E-01,-3.70E-01
PIK3C3,0.71106839,2.17E-01,-3.54E-01
,0.71106839,2.17E-01,-6.05E-01
RNF220,0.71106839,2.17E-01,2.20E-01
QKI,0.71108283,2.17E-01,5.10E-01
TEPSIN,0.71118171,2.17E-01,-2.29E-01
TAGAP,0.71118171,2.17E-01,-1.09E-01
TFDP1,0.71118171,2.17E-01,2.50E-01
,0.71118171,2.17E-01,-3.14E-01
AKIRIN2,0.71118171,2.17E-01,4.55E-01
TMEM39A,0.71118171,2.17E-01,4.38E-02
,0.71118171,2.17E-01,4.57E-02
KLK5,0.71118171,2.17E-01,5.83E-01
SLC33A1,0.71118171,2.17E-01,3.99E-01
LINS1,0.7112741,2.17E-01,-1.99E-01
LOC100128185,0.7112741,2.17E-01,4.69E-02
SUB1,0.7112741,2.17E-01,3.51E-01
MFSD4B,0.7112741,2.17E-01,-4.16E-01
NADSYN1,0.71135779,2.17E-01,-6.21E-02
LTBP3,0.71138354,2.17E-01,1.76E-01
STAB1,0.71138354,2.18E-01,5.75E-01
MED26,0.71138354,2.18E-01,-1.46E-01
ADGRA3,0.71138354,2.18E-01,-5.44E-01
RPLP0,0.71138354,2.18E-01,-8.59E-02
CDK11A///CDK11B,0.71138354,2.18E-01,-1.75E-01
QKI,0.71138354,2.18E-01,3.07E-01
BIN3-IT1,0.71138354,2.18E-01,-2.70E-02
ENOX1,0.71138354,2.18E-01,5.26E-01
TMEM268,0.71138354,2.18E-01,4.04E-01
RPIA,0.71140729,2.18E-01,-3.52E-01
CKMT2-AS1,0.71140729,2.18E-01,-9.06E-02
B4GALNT1,0.71149349,2.18E-01,5.55E-02
,0.71152271,2.18E-01,-1.74E-01
ELF1,0.71171911,2.18E-01,-3.22E-01
COMMD10,0.71184798,2.18E-01,4.41E-01
LPAR2,0.71187177,2.18E-01,-4.88E-01
,0.71201203,2.18E-01,-5.32E-01
NACC1,0.71220648,2.18E-01,7.36E-02
ATXN1,0.71220648,2.18E-01,4.58E-01
SNX2,0.71220648,2.18E-01,1.69E-01
YES1,0.71220648,2.18E-01,2.87E-01
TMEM86B,0.71220648,2.18E-01,-1.00E-01
CDK12,0.71220648,2.18E-01,-2.02E-01
MYO19,0.71220648,2.18E-01,3.42E-01
C7orf43,0.71220648,2.18E-01,-2.06E-01
RTN1,0.71221034,2.18E-01,7.46E-01
ETFDH,0.71221034,2.18E-01,-2.24E-01
TBC1D32,0.71221034,2.18E-01,-4.80E-01
LARP6,0.71221034,2.18E-01,4.53E-01
TP63,0.71236675,2.18E-01,-1.19
,0.71236675,2.18E-01,-2.40E-01
SPAG16,0.71238304,2.18E-01,-9.42E-04
MIR6849///MIR1234///MIR939///CPSF1,0.71238304,2.18E-01,-2.39E-01
PPP1R3E,0.71238304,2.18E-01,-2.87E-01
LOC101060363///PPIA,0.71242597,2.18E-01,-3.40E-01
ACHE,0.71246188,2.18E-01,6.34E-02
TTLL3,0.71257528,2.18E-01,-9.98E-02
EAF2,0.71257528,2.18E-01,4.36E-01
TNFSF10,0.71257528,2.18E-01,7.54E-01
HIST2H2AA4///HIST2H2AA3,0.71262489,2.18E-01,4.14E-01
KCNT2,0.71265276,2.18E-01,4.20E-01
THOC1,0.71284768,2.18E-01,2.84E-01
SERPINB13,0.71286053,2.18E-01,5.28E-01
CA5BP1///CA5B,0.71286053,2.18E-01,3.41E-01
RADIL,0.71286614,2.19E-01,5.92E-02
RABIF,0.71286614,2.19E-01,2.65E-01
ID2,0.71286614,2.19E-01,-4.35E-01
NPNT,0.71286614,2.19E-01,7.35E-01
SIKE1,0.71286614,2.19E-01,2.46E-01
AKAP9,0.71289592,2.19E-01,-2.54E-01
C15orf65,0.71289592,2.19E-01,2.61E-01
B3GLCT,0.71289592,2.19E-01,4.27E-01
FAM120AOS,0.71289592,2.19E-01,3.17E-01
,0.71293836,2.19E-01,-3.50E-01
RSPRY1,0.71293836,2.19E-01,-1.72E-01
FRAS1,0.71293836,2.19E-01,1.39E-01
IPO9,0.71309318,2.19E-01,2.12E-01
,0.71309318,2.19E-01,-1.13E-03
ITLN1,0.71309318,2.19E-01,-5.32E-01
MFSD10,0.71309318,2.19E-01,-4.14E-01
SIGIRR,0.71309318,2.19E-01,-3.79E-01
UBTD2,0.71309318,2.19E-01,2.27E-01
DST,0.71309318,2.19E-01,-5.38E-01
EPB41,0.71309318,2.19E-01,-3.27E-01
,0.71309318,2.19E-01,-9.40E-04
HMGXB4,0.71309318,2.19E-01,-2.91E-01
OSBPL8,0.71309318,2.19E-01,-3.51E-01
CTC-338M12.4,0.71309318,2.19E-01,-2.15E-01
PAWR,0.71309318,2.19E-01,-3.57E-01
RHOJ,0.71309318,2.19E-01,8.46E-02
HSPA9,0.71309318,2.19E-01,2.43E-01
LONRF2,0.71309318,2.19E-01,4.93E-01
ATP5D,0.71315664,2.19E-01,-1.65E-01
MS4A7,0.7131618,2.19E-01,6.97E-01
,0.71320894,2.19E-01,-1.64E-01
ZNF146,0.71325601,2.19E-01,4.43E-01
ST20-MTHFS///MTHFS,0.71337823,2.19E-01,2.04E-01
ADGRG2,0.7135217,2.19E-01,7.76E-01
ITPKC,0.71352566,2.19E-01,-3.71E-01
FZR1,0.71352566,2.19E-01,5.79E-02
LOC101928343,0.71352808,2.19E-01,-3.76E-02
TMEM117,0.71354888,2.19E-01,-4.66E-01
,0.71366331,2.19E-01,4.66E-02
,0.71376779,2.19E-01,-4.10E-02
ALKBH5,0.71398712,2.19E-01,3.65E-01
LOC643733,0.71409585,2.19E-01,3.93E-01
HSDL2,0.71409585,2.19E-01,-3.95E-01
RAB11FIP3,0.71409585,2.19E-01,-1.69E-01
MPC1,0.71409585,2.19E-01,-2.78E-01
,0.71415068,2.19E-01,-4.49E-01
BTBD7,0.71421905,2.20E-01,-1.08E-01
XPR1,0.71421905,2.20E-01,-3.13E-01
THBS1,0.71421905,2.20E-01,3.04E-01
CMTM7,0.71421905,2.20E-01,-2.27E-01
MRPS16,0.71421905,2.20E-01,3.60E-01
,0.7142384,2.20E-01,-2.87E-03
PPFIA3,0.71439804,2.20E-01,7.91E-02
PRUNE2,0.71446076,2.20E-01,2.97E-01
ATXN3,0.71446539,2.20E-01,2.19E-01
BEST1,0.71452055,2.20E-01,-3.83E-02
SFPQ,0.71456472,2.20E-01,2.23E-01
MRPL20,0.71465424,2.20E-01,1.77E-01
RPL10///NDUFS5,0.71465424,2.20E-01,-1.97E-01
SPRR2C,0.71475596,2.20E-01,3.58E-01
NLGN4Y,0.71484579,2.20E-01,-5.41E-01
,0.71537294,2.20E-01,2.46E-01
WNT7B,0.7154021,2.20E-01,-3.69E-01
TNRC6C,0.71568555,2.20E-01,3.03E-01
ZEB2,0.71568555,2.20E-01,-2.37E-03
KIF1BP,0.71568555,2.20E-01,3.46E-01
LMO4,0.71578023,2.20E-01,3.45E-01
COPS8,0.71597336,2.20E-01,9.59E-02
AGBL3,0.71599641,2.20E-01,-3.12E-01
SLC12A4,0.7161013,2.20E-01,9.27E-02
,0.7161013,2.20E-01,5.88E-01
NADK2,0.71612838,2.20E-01,2.83E-01
WTAP,0.71615946,2.20E-01,1.74E-01
,0.71620253,2.20E-01,-5.81E-01
NRARP,0.71633003,2.21E-01,6.97E-01
HELB,0.71637281,2.21E-01,2.72E-02
TRIM25,0.71638108,2.21E-01,4.56E-02
DNAJC3,0.71638728,2.21E-01,-2.11E-01
SEMA4C,0.71638728,2.21E-01,-3.35E-01
LNPK,0.71638728,2.21E-01,5.11E-01
GSTCD,0.71638728,2.21E-01,3.90E-02
PSMB7,0.71650804,2.21E-01,-2.42E-01
AZIN1,0.71650804,2.21E-01,1.42E-01
LOC101928323,0.7165597,2.21E-01,-9.72E-03
DPT,0.7165597,2.21E-01,3.36E-01
IL13RA2,0.7165597,2.21E-01,7.93E-01
,0.7165597,2.21E-01,8.08E-02
SSX3,0.7165597,2.21E-01,2.68E-01
STAG3L2///STAG3L3///STAG3L1,0.71657007,2.21E-01,-2.20E-01
RTEL1-TNFRSF6B///TNFRSF6B,0.71657007,2.21E-01,4.11E-01
ACADL,0.71661842,2.21E-01,3.50E-01
ZNF599,0.71661842,2.21E-01,1.16E-01
ANKRD10-IT1,0.71666427,2.21E-01,-1.32E-01
IFIH1,0.71682435,2.21E-01,1.79E-01
CHD1L,0.71713064,2.21E-01,-4.02E-01
MCL1,0.71715256,2.21E-01,7.17E-01
MTHFD2L,0.71715256,2.21E-01,4.15E-01
TTC14,0.71722707,2.21E-01,-4.62E-01
LOC145694,0.71722707,2.21E-01,6.62E-02
TEFM,0.71722707,2.21E-01,-4.30E-01
TRO,0.71722707,2.21E-01,1.28E-01
PRR5L,0.71722707,2.21E-01,2.87E-01
PLXDC1,0.71722707,2.21E-01,-9.33E-04
LINC01419,0.71747304,2.21E-01,7.00E-01
MORN2,0.71752592,2.21E-01,5.20E-01
FAM217B,0.71764232,2.21E-01,4.89E-01
MUC13,0.71772313,2.21E-01,-1.38E-01
FAF2,0.71775498,2.21E-01,-1.75E-01
TUSC3,0.71777396,2.21E-01,-6.50E-01
FEZ1,0.71777496,2.21E-01,8.24E-01
EXTL1,0.71786814,2.21E-01,1.20E-02
,0.71787711,2.22E-01,3.11E-01
FBXO11,0.71802762,2.22E-01,3.00E-01
RSPH3,0.71803228,2.22E-01,-4.20E-01
USP47,0.71814248,2.22E-01,-2.75E-01
ZADH2,0.71819076,2.22E-01,-3.46E-01
LRIG3,0.71828428,2.22E-01,5.19E-01
ZNF468,0.71829646,2.22E-01,-3.55E-01
GPATCH2,0.71835469,2.22E-01,3.50E-01
CSNK2A2,0.71836301,2.22E-01,-1.73E-01
TM6SF1,0.71836301,2.22E-01,2.97E-01
ZNF783,0.71836301,2.22E-01,-1.21E-01
U2AF2,0.71837257,2.22E-01,-1.91E-01
CD59,0.71844221,2.22E-01,3.76E-01
OSR1,0.71844221,2.22E-01,-6.07E-01
LINC00702,0.71844221,2.22E-01,3.06E-01
ASNA1,0.71844221,2.22E-01,3.47E-01
RAD54L,0.71848042,2.22E-01,2.34E-01
NFKBIZ,0.7187029,2.22E-01,-5.75E-01
,0.7187029,2.22E-01,-2.85E-02
,0.7187029,2.22E-01,-3.22E-01
TLE1,0.71873233,2.22E-01,6.47E-02
FDX1,0.71884066,2.22E-01,3.61E-01
SNHG1///SNORD22///SNORD25///SNORD26///SNORD27///SNORD28///SNORD30///SNORD31///SNORD29,0.71893362,2.22E-01,2.95E-01
,0.71893362,2.22E-01,-3.13E-01
SIPA1L1,0.71901099,2.22E-01,-2.94E-01
FDX1,0.71913684,2.22E-01,3.20E-01
ATP5C1,0.71913684,2.22E-01,2.08E-01
DNASE1,0.71913684,2.22E-01,-2.38E-02
,0.71913684,2.22E-01,-3.20E-01
WDR36,0.71924956,2.22E-01,-2.91E-01
FAM13A,0.71931166,2.22E-01,3.14E-02
,0.71933661,2.22E-01,-5.14E-02
CORO2A,0.71948724,2.22E-01,-5.78E-01
HHEX,0.71948724,2.22E-01,2.74E-01
8-Mar,0.71955365,2.22E-01,8.64E-02
PPCDC,0.71955365,2.22E-01,-2.86E-01
NEK7,0.71959916,2.23E-01,2.62E-01
UBXN8,0.71959916,2.23E-01,3.88E-01
,0.71960323,2.23E-01,1.06E-01
,0.71960323,2.23E-01,-2.70E-02
ASCC3,0.71960323,2.23E-01,2.39E-01
DHCR7,0.71960323,2.23E-01,4.51E-01
CEACAM3,0.71960323,2.23E-01,2.86E-02
CD320,0.71960323,2.23E-01,4.60E-01
ALG6,0.71960323,2.23E-01,-3.02E-01
,0.71960323,2.23E-01,6.69E-02
,0.71960323,2.23E-01,-1.06E-01
,0.71960323,2.23E-01,8.50E-02
,0.71960323,2.23E-01,-3.43E-02
SLC6A6,0.71968545,2.23E-01,-4.20E-01
GLTSCR1,0.71968545,2.23E-01,-1.84E-01
STAT1,0.71977597,2.23E-01,4.19E-01
PGM3,0.7197799,2.23E-01,3.75E-01
LOC101927018,0.71978921,2.23E-01,-1.90E-02
,0.72000083,2.23E-01,-1.03E-01
LELP1,0.72009145,2.23E-01,7.50E-02
CST3,0.72009145,2.23E-01,-3.60E-01
NUDT12,0.72009145,2.23E-01,-4.30E-01
,0.72011495,2.23E-01,-1.42E-02
ZMIZ2,0.72011721,2.23E-01,-2.78E-01
METAP2,0.72011721,2.23E-01,-2.77E-01
CEBPG,0.72011721,2.23E-01,-2.48E-01
EXD2,0.72011721,2.23E-01,2.35E-01
RHCG,0.72011972,2.23E-01,7.92E-01
PHF1,0.72021804,2.23E-01,-1.18E-01
LMF1,0.72031837,2.23E-01,-1.73E-01
MAP3K7CL,0.7203324,2.23E-01,-2.65E-01
ASAP1,0.7203324,2.23E-01,2.94E-01
SNAP25,0.72040133,2.23E-01,5.43E-01
UROD,0.72040133,2.23E-01,2.60E-01
HTT,0.72040806,2.23E-01,1.86E-01
XYLT2,0.72041573,2.23E-01,2.01E-01
PCNX1,0.72046316,2.23E-01,3.18E-01
IL1B,0.72064528,2.23E-01,-6.59E-01
LNPEP,0.72073887,2.23E-01,-2.71E-01
ITPR3,0.72088249,2.23E-01,5.06E-02
NNMT,0.72092827,2.23E-01,1.21E-01
CRAMP1,0.72118568,2.24E-01,-2.57E-01
HSF2BP,0.72118568,2.24E-01,2.52E-01
LOC81691,0.72139743,2.24E-01,4.03E-01
RIMS3,0.72141283,2.24E-01,4.31E-01
CASP2,0.72151058,2.24E-01,2.50E-01
PRICKLE1,0.72151058,2.24E-01,8.41E-02
ZNF7,0.72151058,2.24E-01,-2.45E-02
,0.72151058,2.24E-01,2.97E-01
SAMD15,0.72151058,2.24E-01,-7.27E-02
GAPDH,0.72151058,2.24E-01,1.32E-01
